Site,Shannon,Simpson,Richness
182nd Street,2.500074804022947,0.8683473912826264,21
Old Stone Mill,2.292263748080976,0.8742382025245371,13
Twin Dams,2.056400447758952,0.8325786211405475,12
Hodgman,2.121646648128855,0.8445860237918446,12
Bronxville,1.986508585854289,0.8304092134835777,10
Popham Road,1.9697745184093833,0.8323762423460315,9
Stone Mill,1.8936042010755478,0.8302606072426035,8
Park Homes Road,1.794462313794445,0.8004218649480344,8
Strathmore,1.363720898466115,0.6993436340871187,5
Brook Lane,0.6154750567583768,0.4243607129231254,2
