Site,SamCode,SamCode2,AbbreviatedName,Shortname,Date,Lat,Lon
182nd Street,B1,B-01,182nd,NA,13-Nov-15,40.84283,-73.87675
Twin Dams,B3,B-03,BZ,NA,13-Nov-15,40.85382,-73.87469
Stone Mill,B5,B-05,BBG,NA,13-Nov-15,40.86166,-73.87508
Bronxville,B7,B-07,Bxville,NA,13-Nov-15,40.945131,-73.836568
Old Stone Mill,B9,B-09,Dam5,NA,13-Nov-15,40.951953,-73.829129
Hodgman,B11,B-11,Hodgman,NA,13-Nov-15,40.954951,-73.827418
Strathmore,B13,B-13,SRD,NA,13-Nov-15,40.979262,-73.813845
Popham Road,B14,B-14,PSD,NA,13-Nov-15,40.990015,-73.809144
Brook Lane,B16,B-16,MSD,NA,13-Nov-15,41.014157,-73.791826
Park Homes Road,B18,B-18,PHR,NA,13-Nov-15,41.05864,-73.772535
