Site,Alosinae,Ameiurus natalis,Ameiurus nebulosus,Anguilla rostrata,Catostomus commersonii,Cyprinus carpio,Dionda episcopa,Etheostoma olmstedi,Fundulus diaphanus,Fundulus heteroclitus,Gambusia,Ictalurus punctatus,Lepomis auritus,Lepomis cyanellus,Lepomis gibbosus,Lepomis macrochirus,Lythrurus umbratilus,Menidia menidia,Micropterus salmoides,Morone americana,Morone chrysops,Notemigonus crysoleucas,Notropis,Oncorhynchus tshawytscha,Pimephales promelas,Pleuronectidae,Rhinichthys atratulus,Salvelinus,Trachinotus carolinus
182nd Street,0,0.08086814629099476,0.11902739784908582,0.14359200554472967,0.2292639813482907,0.8437638754687016,0.008067475865756488,0.15512226843935714,0,0.10432965092956452,0.0941374535323521,0.05205866601640518,0.12248755912748344,0.006652611025327056,0.3007513453235088,0.04701338432873529,0.007904479753328543,0,0.08754605352393553,0.144270289931404,0,0.037632850948841216,0.05370782321553397,0,0.06585748916047213,0,0.05198359940775814,0,0
Twin Dams,0,0.24216709013759183,0,0,0.27851330681883874,0.7775110801937899,0,0.26890534449691844,0,0.1449202215426037,0.01634717956162613,0,0.12113369356755763,0.017426151964662427,0.36824885617783265,0.07442415526339595,0,0,0,0,0,0,0,0,0,0,0.08350018522078179,0,0.05086526299900286
Stone Mill,0,0,0,0,0.45270398005630946,0.15162368073524496,0,0.5446728108854093,0,0.32551786332096877,0,0,0.1952027957270764,0,0.5576050862968722,0,0,0,0,0,0.08522812022652504,0,0,0,0,0,0.11466306912626735,0,0
Bronxville,0,0.13138326947015816,0.13208690403215403,0.20461305179040026,0.4586453584884916,0.7340503628150993,0,0.008076426238561973,0,0,0,0,0.17957446934520904,0,0.33121122428743377,0,0,0,0.14996718181606364,0,0,0.09867236641685506,0,0,0,0,0,0,0
Old Stone Mill,0,0.13724708715865588,0,0.22640890404630987,0.5878746225920061,0.5413904341564731,0,0.15889184609795606,0,0.060129753019142744,0.10639507747878743,0,0.13899223441121247,0,0.42151231669963285,0,0,0,0.08772341727142298,0,0,0.07226696923050159,0,0,0,0,0.16901953305233533,0.11199537042229611,0
Hodgman,0,0.10099669701266828,0,0.20145774366837807,0.5698085466818056,0.6722548694281695,0,0.14825066428235778,0,0.11769694394304692,0,0,0.06784626952247397,0,0.3063240399950278,0,0,0,0.12697130559974043,0,0.015418158791277321,0.10742535562975154,0,0.10216678730380907,0,0,0,0,0
Strathmore,0,0,0,0.5366455683632477,0.7875026311554985,0,0,0.23342220968204191,0,0,0,0,0,0,0,0,0,0,0.10194397979169285,0,0,0,0,0,0,0,0.16423348285486025,0,0
Popham Road,0.12822248555814197,0,0,0.18659112407133688,0.45810981596296835,0.20628424925175867,0,0,0.11636000961466177,0.6883951004425773,0,0.1077284357109812,0.12439408271422459,0,0.4264014327112209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brook Lane,0,0,0,0.4026936331284146,0,0,0,0,0,0.9153348228041135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Park Homes Road,0,0,0,0,0.7039391689407871,0.26034307944071633,0,0.5090246268244879,0,0.14701839887036,0,0,0.0840915032605182,0,0,0.0816768882613111,0,0,0,0,0,0,0,0,0,0.08488111216363012,0.3674552338711019,0,0
