Site,Ameiurus natalis,Ameiurus nebulosus,Anguilla rostrata,Catostomus commersonii,Cyprinus carpio,Dionda episcopa,Etheostoma olmstedi,Fundulus heteroclitus,Gambusia,Ictalurus punctatus,Lepomis auritus,Lepomis cyanellus,Lepomis gibbosus,Lepomis macrochirus,Lythrurus umbratilus,Micropterus salmoides,Morone americana,Notemigonus crysoleucas,Notropis,Pimephales promelas,Rhinichthys atratulus,Morone chrysops,Oncorhynchus tshawytscha,Salvelinus,Pleuronectidae,Alosinae,Fundulus diaphanus,Trachinotus carolinus
182nd Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Twin Dams,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Stone Mill,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Bronxville,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Old Stone Mill,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
Hodgman,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
Strathmore,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Popham Road,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Brook Lane,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Park Homes Road,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
