Site,scientific_name,Type,River,totalcount
182nd Street,Ameiurus natalis,sample,NA,2512
182nd Street,Ameiurus nebulosus,sample,NA,5442
182nd Street,Anguilla rostrata,sample,NA,7920
182nd Street,Catostomus commersonii,sample,NA,20190
182nd Street,Cyprinus carpio,sample,NA,273468
182nd Street,Dionda episcopa,sample,NA,25
182nd Street,Etheostoma olmstedi,sample,NA,9243
182nd Street,Fundulus heteroclitus,sample,NA,4181
182nd Street,Gambusia,sample,NA,3404
182nd Street,Ictalurus punctatus,sample,NA,1041
182nd Street,Lepomis auritus,sample,NA,5763
182nd Street,Lepomis cyanellus,sample,NA,17
182nd Street,Lepomis gibbosus,sample,NA,34744
182nd Street,Lepomis macrochirus,sample,NA,849
182nd Street,Lythrurus umbratilus,sample,NA,24
182nd Street,Micropterus salmoides,sample,NA,2944
182nd Street,Morone americana,sample,NA,7995
182nd Street,Notemigonus crysoleucas,sample,NA,544
182nd Street,Notropis,sample,NA,1108
182nd Street,Pimephales promelas,sample,NA,1666
182nd Street,Rhinichthys atratulus,sample,NA,1038
Bronxville,Ameiurus natalis,sample,NA,5028
Bronxville,Ameiurus nebulosus,sample,NA,5082
Bronxville,Anguilla rostrata,sample,NA,12195
Bronxville,Catostomus commersonii,sample,NA,61273
Bronxville,Cyprinus carpio,sample,NA,156952
Bronxville,Etheostoma olmstedi,sample,NA,19
Bronxville,Lepomis auritus,sample,NA,9393
Bronxville,Lepomis gibbosus,sample,NA,31954
Bronxville,Micropterus salmoides,sample,NA,6551
Bronxville,Notemigonus crysoleucas,sample,NA,2836
Brook Lane,Anguilla rostrata,sample,NA,30
Brook Lane,Fundulus heteroclitus,sample,NA,155
Hodgman,Ameiurus natalis,sample,NA,472
Hodgman,Anguilla rostrata,sample,NA,1878
Hodgman,Catostomus commersonii,sample,NA,15024
Hodgman,Cyprinus carpio,sample,NA,20912
Hodgman,Etheostoma olmstedi,sample,NA,1017
Hodgman,Fundulus heteroclitus,sample,NA,641
Hodgman,Lepomis auritus,sample,NA,213
Hodgman,Lepomis gibbosus,sample,NA,4342
Hodgman,Micropterus salmoides,sample,NA,746
Hodgman,Morone chrysops,sample,NA,11
Hodgman,Notemigonus crysoleucas,sample,NA,534
Hodgman,Oncorhynchus tshawytscha,sample,NA,483
Old Stone Mill,Ameiurus natalis,sample,NA,2110
Old Stone Mill,Anguilla rostrata,sample,NA,5742
Old Stone Mill,Catostomus commersonii,sample,NA,38712
Old Stone Mill,Cyprinus carpio,sample,NA,32832
Old Stone Mill,Etheostoma olmstedi,sample,NA,2828
Old Stone Mill,Fundulus heteroclitus,sample,NA,405
Old Stone Mill,Gambusia,sample,NA,1268
Old Stone Mill,Lepomis auritus,sample,NA,2164
Old Stone Mill,Lepomis gibbosus,sample,NA,19902
Old Stone Mill,Micropterus salmoides,sample,NA,862
Old Stone Mill,Notemigonus crysoleucas,sample,NA,585
Old Stone Mill,Rhinichthys atratulus,sample,NA,3200
Old Stone Mill,Salvelinus,sample,NA,1405
Park Homes Road,Catostomus commersonii,sample,NA,3714
Park Homes Road,Cyprinus carpio,sample,NA,508
Park Homes Road,Etheostoma olmstedi,sample,NA,1942
Park Homes Road,Fundulus heteroclitus,sample,NA,162
Park Homes Road,Lepomis auritus,sample,NA,53
Park Homes Road,Lepomis macrochirus,sample,NA,50
Park Homes Road,Pleuronectidae,sample,NA,54
Park Homes Road,Rhinichthys atratulus,sample,NA,1012
Popham Road,Alosinae,sample,NA,17
Popham Road,Anguilla rostrata,sample,NA,36
Popham Road,Catostomus commersonii,sample,NA,217
Popham Road,Cyprinus carpio,sample,NA,44
Popham Road,Fundulus diaphanus,sample,NA,14
Popham Road,Fundulus heteroclitus,sample,NA,490
Popham Road,Ictalurus punctatus,sample,NA,12
Popham Road,Lepomis auritus,sample,NA,16
Popham Road,Lepomis gibbosus,sample,NA,188
Stone Mill,Catostomus commersonii,sample,NA,49600
Stone Mill,Cyprinus carpio,sample,NA,5564
Stone Mill,Etheostoma olmstedi,sample,NA,71800
Stone Mill,Fundulus heteroclitus,sample,NA,25645
Stone Mill,Lepomis auritus,sample,NA,9222
Stone Mill,Lepomis gibbosus,sample,NA,75250
Stone Mill,Morone chrysops,sample,NA,1758
Stone Mill,Rhinichthys atratulus,sample,NA,3182
Strathmore,Anguilla rostrata,sample,NA,9588
Strathmore,Catostomus commersonii,sample,NA,20647
Strathmore,Etheostoma olmstedi,sample,NA,1814
Strathmore,Micropterus salmoides,sample,NA,346
Strathmore,Rhinichthys atratulus,sample,NA,898
Twin Dams,Ameiurus natalis,sample,NA,4828
Twin Dams,Catostomus commersonii,sample,NA,6386
Twin Dams,Cyprinus carpio,sample,NA,49768
Twin Dams,Etheostoma olmstedi,sample,NA,5953
Twin Dams,Fundulus heteroclitus,sample,NA,1729
Twin Dams,Gambusia,sample,NA,22
Twin Dams,Lepomis auritus,sample,NA,1208
Twin Dams,Lepomis cyanellus,sample,NA,25
Twin Dams,Lepomis gibbosus,sample,NA,11164
Twin Dams,Lepomis macrochirus,sample,NA,456
Twin Dams,Rhinichthys atratulus,sample,NA,574
Twin Dams,Trachinotus carolinus,sample,NA,213
