Genus,species,scientific_name,Freshwater,Rach_0,Rach_01,Rach_02,Rach_03,Rach_04,Rach_05,Rach_06,Rach_07,Rach_08,Rach_09,Rach_10,Rach_11,Rach_12,Rach_13
Ameiurus,nebulosus,Ameirus nebulosus,Y,1,,,,1,1,,,,1,,,,
Anguilla,rostrata,Anguilla rostrata,Y,1,,,,,1,,,,1,,,,
Apeltes,quadracus,Apeltes quadracus,Y,1,,,,,,,1,1,1,1,,,1
Carassius,auratus,Carassius auratus,Y,1,,,,,,,,,1,,,,
Catostomus,commersonii,Catostomus commersonii,Y,1,1,1,1,1,1,1,,1,,,,,
Cyprinus,carpio,Cyprinus carpio,Y,1,,1,,,1,,1,,,,,,
Esox,americanus,Esox americanus,Y,1,,1,,,,,,,,,,,
Esox,lucius,Esox lucius,Y,1,,,,,,,,,,,,,
Etheostoma,nigrum,Etheostoma nigrum,Y,1,,,,,,,,,,,,,
Etheostoma,olmstedi,Etheostoma olmstedi,Y,1,1,1,,1,1,1,1,1,1,,,,
Fundulus,diaphanus,Fundulus diaphanus,Y,1,,,,1,1,,,,,,,,
Fundulus,heteroclitus,Fundulus heteroclitus,Y,1,,,,1,,,1,1,1,1,1,1,
Gambusia,affinis,Gambusia affinis,Y,1,,,,,,,,1,,,,,
Lepomis,auritus,Lepomis auritus,Y,1,,1,,1,1,,,,,,,,
Lepomis,gibbosus,Lepomis gibbosus,Y,1,1,1,,1,,1,,,,,,,
Lepomis,macrochirus,Lepomis macrochirus,Y,1,1,,,1,,,,1,1,,,,
Luxilus,cornutus,Luxilus cornutus,Y,1,,,,,1,,,,,,,,
Micropterus,dolomieu,Micropterus dolomieu,Y,1,1,,,,,,,,,,,,
Micropterus,salmoides,Micropterus salmoides,Y,1,,,1,1,1,1,1,,,,,,
Notemigonus,crysoleucas,Notemigonus crysoleucas ,Y,1,,,1,,,,,,,,,,
Perca,flavescens,Perca flavescens,Y,1,1,1,,,,,,,,,,,
Pimephales,promelas,Pimephales promelas,Y,1,,,,1,,,1,1,,,,,
Rhinichthys,atratulus,Rhinichthys atratulus,Y,1,1,1,1,1,1,1,1,,1,,,,
Rhodeus,sericeus,Rhodeus sericeus,Y,1,,,,,,,,,,,,,
Salmo,trutta,Salmo trutta,Y,1,1,,,,,,,,,,,,
Semotilus,atromaculatus,Semotilus atromaculatus,Y,1,1,,,,,,,,,,,,
Semotilus,corporalis,Semotilus corporalis,N,1,,,,,,,,,,,,,
Anchoa,mitchilli,Anchoa mitchilli,N,1,,,,,,,,,,1,,1,1
Archosargus,probatocephalus,Archosargus probatocephalus,N,1,,,,,,,,,,,,,1
Brevoortia,tyrannus,Brevoortia tyrannus,N,1,,,,,,,,,,1,,,1
Cynoscion,regalis,Cynoscion regalis,N,1,,,,,,,,,,,,1,1
Dorosoma,cepedianum,Dorosoma cepedianum,N,1,,,,,,,,,,,,,1
Gobiosoma,bosc,Gobiosoma bosc,N,1,,,,,,,,,,1,,,
Gobiosoma,ginsburgi,Gobiosoma ginsburgi,N,1,,,,,,,,,,,,,1
Menidia,menidia,Menidia menidia,N,1,,,,,,,,,,1,1,1,1
Microgadus,tomcod,Microgadus tomcod,N,1,,,,,,,,,,1,,,
Morone,saxatalis,Morone saxatalis,N,1,,,,,,,,,,1,,,1
Myoxocephalus,aenaeus,Myoxocephalus aenaeus,N,1,,,,,,,,,,,1,1,
Paralichthys,dentatus,Paralichthys dentatus,N,1,,,,,,,,,,,,,1
Peprilus,triacanthus,Peprilus triacanthus,N,1,,,,,,,,,,,,,1
Pholis,gunnellus,Pholis gunnellus,N,1,,,,,,,,,,,,,1
Pomatomus,saltatrix,Pomatomus saltatrix,N,1,,,,,,,,,,,,1,
Prionotus,carolinus,Prionotus carolinus,N,1,,,,,,,,,,,,,1
Pseudopleuronectes,americanus,Pseudopleuronectes americanus,N,1,,,,,,,,,,1,1,1,1
Syngnathus,fuscus,Syngnathus fuscus,N,1,,,,,,,,,,,1,,
Tautogolabrus,adspersus,Tautogolabrus adspersus,N,1,,,,,,,,,,1,,,
Urophycis,regia,Urophycis regia,N,1,,,,,,,,,,,,,1
